id,question
1,対向車のライトがまぶしくて目がくらんだときは、目をつぶり視線をそらすのがよい。
2,薄暮時は交通事故が多いので、前照灯は目が暗さに慣れてから点灯した方が安全である。
3,雨の日はすべりやすく危険度は高いが、ハンドルやブレーキの操作を確実にすれば事故は防げるので、車間距離や速度は晴れの日と同じくらいでよい。
4,濃霧で視界が悪いときは、前照灯を早めにつけるとともに、必要に応じて警音器を使用するとよい。
5,後輪が右に横すべりを始めたときは、車体は左に向くので、右にハンドルを切って車体の向きを立て直すとよい。
6,夜間、雨が降っているときは、前照灯の光が路面などに乱反射して歩行者が見えにくくなることがあるので、慎重に運転しなければならない。
7,長い下り坂を走行中にブレーキがきかなくなったときは、ギアをニュートラルにするとよい。
8,雪道では、横すべりを起こすことが多いので、ハンドルやブレーキの操作は特に慎重にし、急発進、急ブレーキ、急ハンドルは絶対にしてはならない。
9,夜間、道路に駐停車するときは、道路照明などにより50メートル後方から明りょうに見える場所であれば、非常点滅表示灯、駐車灯または尾灯をつけなくてもよい。
10,車を運転中、大地震が発生し、やむを得ず車を道路上に置いて避難するときは、道路の左側に寄せて駐車し、エンジンを止め、エンジンキーはつけたままか車内の分かりやすい場所に置き、窓を閉め、ドアはロックしない。
