id,question
1,交通量が少ないときは、ほかの歩行者や車に迷惑をかけることはないので、交通法規を守る必要はない。
2,体調が悪いときや心配ごとがあるときは、運転を控え、体調を整えてから運転する。
3,運転中に眠気を感じた場合、目的地に早く到着できるよう速度を上げて運転したほうがよい。
4,アルコールは睡眠をとることで醒めるので、酒を飲み過ぎたときは、短時間でも睡眠をとれば運転することができる。
5,車から降りるためドアを開ける際、通行する他の運転者への合図にもなるため、勢いよく一気に開けたほうがよい。
6,幼児を車に乗せる場合、病気などでやむを得ない場合を除き、その幼児の発育に応じた大きさのチャイルドシートを使用する必要がある。
7,オートマチック車（自動運転車においては除く）は、片手で運転しても十分安全に運転できるので、走行中に携帯電話を手に持って使用してもよい。
8,自動車を運転中（自動運転車においては除く）、道に迷ってしまった場合は、カーナビゲーション装置を注視しながら運転してもよい。
9,交通法規は、道路を安全、円滑に通行するうえで守るべき共通の約束であり、交通法規を守ることは社会人としての基本的な責務である。
10,シートベルトは、運転者は着用しなければならないが、助手席や後部座席の同乗者は着用させなくてもよい。
11,腰ベルトは、骨盤を巻くようにしっかりと締め、ベルトがねじれていないかを確認する。
12,自動車損害賠償責任保険証明書又は責任共済証明書は大事なものなので、自宅に保管する。
13,運転席に座ったときの座席の前後位置は、クラッチを踏み込んだとき、ひざが伸びきった状態に合わせる。
14,運転席のシートの背もたれは、ハンドルを両手で持ったとき、ひじがわずかに曲がる状態に合わせる。
15,バックで発進することは危険なので、車庫などに車を入れるときは、前もって発進しやすいようにバックで入れておくとよい。
16,交通量の多い場所では、車の乗り降りは、左側のドアから乗り降りするとよい。
17,交通量の多い場所であっても、車の乗り降りは常に右側のドアからしなければならない。
18,オートマチック車を運転する場合、エンジン始動前にブレーキペダルを踏んでその位置を確認し、アクセルペダルの位置を目で見て確認するとよい。
19,オートマチック車を運転する場合、エンジンを始動する前に、ハンドブレーキが掛かっていて、チェンジレバーがDの位置にあることを確認したあと、ブレーキペダルを踏んだままエンジンを始動する。
20,オートマチック車は、交差点などで停止した場合、ブレーキペダルをしっかり踏んでおかないと、クリープ現象で車が勝手に動き出すことがある。
21,オートマチック車を運転する場合、エンジン始動前にハンドブレーキが掛かっていて、チェンジレバーがPの位置にあることを確認し、ブレーキペダルをしっかりと踏んだまま、エンジンを始動する。
22,オートマチック車を駐車させるときは、ブレーキペダルを踏んだままハンドブレーキを確実に掛けて、チェンジレバーをPの位置に入れてからエンジンを切るようにする。
23,車の乗り降りをするときは、周りの状況、特に後ろから車が来ないかを確認するとよい。
24,車を安全に運転するためには、服装や履物まで注意をする必要はない。
25,睡眠作用のある風邪薬や頭痛薬を飲んだときは、運転しないようにする。
26,AT自動車のチェンジレバーをPに入れるときは、車が完全に停止してから入れないと故障の原因になる。
27,AT自動車は、アクセルペダルとブレーキペダルの操作が基本となるので、チェンジレバーの操作については、特に注意する必要はない。
28,AT自動車で発進するときのアクセルペダルの操作は、ブレーキペダルを徐々に放し、車が動き出してから、軽く踏むようにするのがよい。
29,AT自動車を運転して、高速道路の本線車道に入るときは、チェンジレバーをDにして加速するのがよい。
30,AT自動車のチェンジレバーがPかN以外のときは、クリープ現象が起こるので、ブレーキペダルをしっかり踏むことが大切である。
31,AT自動車のエンジンを始動するときは、ハンドブレーキがかかっており、チェンジレバーがPの位置にあることを確認した上で、ブレーキペダルを踏んだまま、エンジンを始動しなければならない。
32,AT自動車を発進させるときは、チェンジレバーの位置が間違っていないことを目で確かめないと危険である。
33,AT自動車は、エンジンブレーキの効果が小さいので、下り坂では、フットブレーキとハンドブレーキで速度を調節しながら走行するのがよい。
34,AT自動車でのエンジン始動直後の走行は、エンジンの回転数が高く、アクセルペダルから足を放しただけでは十分に減速できないことがあるので、注意した方がよい。
35,AT二輪車は、常に車輪にエンジンの力が伝わっている状態なので、スロットルを戻しても安定性を失うことはない。
