id,question
1,運転者が危険を感じてからブレーキを踏み、ブレーキが実際にきき始めるまでの間に走る距離を空走距離という。
2,停止距離が長くなるということは、運転者の操作の遅れが原因であるというよりも、車のブレーキ自体のききがよいか悪いかで決まる。
3,標識や標示により最高速度が指定されていない道路では、時速60キロメートルで進行してよい。
4,左右の見通しがきかない交差点で、優先道路を通行しているときは徐行しなくてもよい。
5,上り坂の頂上付近では、必ずしも徐行する必要はない。
6,速度制限の標識がない道路で、時速60キロメートルで進行している普通自動車を追い越すためであれば、一時的にこの速度を超えることは許される。
7,二輪車のブレーキをかけるときは、車体を垂直に保ち、ハンドルを切らない状態で、エンジンブレーキをきかせながら前後輪のブレーキを同時にかけるとよい。
8,アンチロックブレーキシステムを備えた自動車で急ブレーキをかける場合は、システムを有効にするため、ゆっくり踏み込むことが必要である。
9,普通乗用自動車で乾いたアスファルト道路を時速60キロメートルで走行している場合の停止距離は、約44メートルである。
10,車が停止するには、空走距離と制動距離とを合わせた停止距離が必要となる。
