id,question
1,前の車が自動車を追い越そうとしているときであっても、追い越すのに十分な余地があれば追越しをしてもよい。
2,車は、前の車が右折のため右側に進路を変えようとしているときは、その右側を追い越してはならない。
3,道路の曲がり角付近やこう配の急な下り坂では、運転に自信があれば追い越してもよい。
4,車両通行帯のあるトンネルで、大型貨物自動車を追い越した。
5,優先道路を通行している場合であれば、交差点やその手前30メートル以内の場所であっても、自動車や一般原動機付自転車を追い越してもよい。
6,この標識のある道路では、道路の中央から右側部分にはみ出して追い越しすることが禁止されている。
7,追越しをするとき、前の車の動きや周囲の交通などに多少の不安がある場合には、ためらうことなく一気に追い越した方がよい。
8,車は、前の車が右折するため道路の中央に寄って通行しているときは、その左側を通行しなければならない。
9,追越しをするときは、まず左に寄りながら右側の方向指示器を出し、次に後方の安全を確かめるのがよい。
10,ほかの車に追い越されるときは、追越しが終わるまで速度を上げてはならない。
