id,question
1,黄色の灯火の矢印。この信号で、路線バスは矢印の方向に進むことができる。
2,黄色の灯火の点滅。この信号に対面する歩行者・遠隔操作型小型車、車や路面電車は、ほかの交通に注意して進むことができる。
3,赤色の灯火の点滅。この信号に対面する車や路面電車は、停止位置で一時停止し、安全確認をして進むことができる。
4,時差式信号のときは、対向車が発進しても前方の信号が青であるとは限らないので、必ず前方の信号を確認する必要がある。
5,信号に従って停止するときの停止位置は、停止線の標識や標示のない交差点では、見通しのよい位置までである。
6,交差点以外で、横断歩道があるところで警察官が手信号や灯火により、黄色や赤色の信号をしているときの停止位置は、その警察官の1メートル手前である。
7,この図のような警察官の手信号は、矢印の方向の交通に対しては、赤色の灯火の信号と同じ意味である。
8,前方の信号が黄色に変わった場合、交差点の手前の停止線で安全に停止できるときは、停止線から先に進んではいけない。
9,青色の灯火の矢印。この標示板が道路の左端や信号機に設置されているときは、車は前方の信号が黄色であっても左折できるが、赤色のときは左折できない。
10,この信号に対面する車（軽車両、特定小型原動機付自転車や、二段階の右折方法により右折する一般原動機付自転車を除く）は、交差点を右折、転回することができる。
