id,question
1,運転者が、運転席に座った状態で車の外を見た場合、視界が車体などで妨げられて見えない部分ができるが、この見えない部分を死角という。
2,車の発進、後退時には、車の周囲を一回りし、安全を確認してから車に乗る習慣を身につけるとよい。
3,発進の合図をする前に前後左右の安全を確かめれば、合図をした後、再び安全を確認する必要はない。
4,進路変更の合図を早くし過ぎると、ほかの車に迷惑を与えるので、進路変更の合図をしたらすぐハンドルを切るのが、最も安全な方法である。
5,転回や右折をしようとするときは、それらの行為をしようとする地点から30メートル手前の地点に達したときに、合図をしなければならない。（環状交差点内を除く）
6,徐行や停止をするときは、その行為をしようとするときに、合図をすればよい。
7,この図のような運転者の手による合図は、後退するときの合図である。
8,右左折などの行為が終わったときに合図を戻す時期は、その行為が終わった約3秒後である。
9,この標識のある区間内では、左右の見通しの悪い交差点や見通しの悪い曲がり角、見通しの悪い上り坂の頂上で警音器を鳴らさなければならない。
10,信号が青になっても前の車が発進しない場合、発進をうながすために警音器を鳴らしてもよい。
