id,question
1,駐車とは、車が継続的に停止することや、運転者が車から離れていてすぐに運転できない状態で停止することをいう。
2,バスの停留所の標示板（標示柱）から10メートル以内の場所は、バス運行時は駐車や停車が禁止されている。
3,駐車場、車庫などの自動車用の出入口から3メートル以内の場所は、駐停車禁止場所である。
4,自動車の保有者は、車の使用の本拠の位置から2キロメートル以内の、道路以外の場所に保管場所を確保しなければならない。
5,人の乗り降りや、5分以内の荷物の積みおろしのための停止は、駐車にならない。
6,路側帯の幅が広い場合は、路側帯に入って駐停車できるが、そのときは車の左側に0.75メートル以上の余地をあけておかなければならない。
7,消火せん、消防水利の標識があるところや、消防用防火水そうの取り入れ口から5メートル以内の場所で駐車してはならない。
8,駐車する場合、車の右側の道路上に3.5メートル以上の余地がなかったが、交通量も少なかったので駐車した。
9,車から離れるときの措置として、ギアは平地や下り坂ではバック、上り坂ではローに入れ、AT自動車の場合はN（ニュートラル）に入れるのがよい。
10,この標識のある道路では、終日、駐車および停車を禁止している。
