id,question
1,車は、歩行者や自転車の側方を通過するとき、十分な間隔をあけることができても、徐行しなければならない。
2,不注意で歩行者に泥や水をはねてしまったときは、たとえ徐行していても、運転者の責任である。
3,安全地帯がなく停止中の路面電車から人が乗り降りしている場合、車は1.5メートル以上の間隔があれば、徐行して通過してよい。
4,横断歩道や自転車横断帯の手前で止まっている車があるときには、そのそばを通って前方に出る前に一時停止をしなければならない。
5,歩行者または自転車がいないことが明らかな横断歩道や自転車横断帯に接近したときは、減速したり、一時停止することなく、通行することができる。
6,横断歩道や自転車横断帯とその手前から30メートル以内の場所は、追越しも追抜きも禁止されている。
7,横断歩道のない交差点やその付近を横断している歩行者があるときは、減速や徐行や一時停止して、その歩行者の通行を妨げてはならない。
8,児童・幼児の乗り降りのため停止している通学・通園バスの側方を通過するときは、後方で一時停止して安全を確かめなければならない。
9,高齢者マークをつけている高齢運転者、身体障がい者マークをつけている身体の不自由な運転者が自動車を運転しているときは、追越しや追抜きが禁止されている。
10,二輪車のマフラーを取りはずしたり、変形ハンドルに改造したりした者も処罰の対象となる。
