id,question
1,自動車の速度と燃料消費量には密接な関係があり、速度が低過ぎても高過ぎても燃料消費量は多くなる。
2,安全にカーブを曲がるためには、途中で減速するよりも、その手前の直線部分で十分速度を落とすのがよい。
3,二輪車は、車体を傾けると自然に曲がるので、どのようなカーブでも速度を落とす必要はない。
4,二輪車のハンドルを握るときは、手首を下げて前に押すようにし、グリップを軽く握るようにする。
5,速度が速くなればなるほど、車が衝突したときに相手に与えたり、自分が受ける衝撃力が大きくなるので、速度の出し過ぎには十分注意する必要がある。
6,雨でぬれたアスファルト路面や雪道では、タイヤと路面の摩擦抵抗が小さくなり、制動距離は短くなる。
7,制動距離や遠心力などは、速度の2乗に比例するので、速度が2倍になれば、制動距離やカーブで車の横すべりや転倒させようとする力は4倍になる。
8,車の停止距離は、路面状態、タイヤの状態に関係なくブレーキを踏む速さ、強さで決まる。
9,最高速度や積載制限の規制は、交通の円滑を図ることにはなるが、交通公害を防ぐことにはならない。
10,やさしい発進、加速度の少ない運転、駐停車時のアイドリングストップなどの環境負荷の軽減に配慮した運転（エコドライブ）に努めなければならない。
